124,324,50,38,56,678,1.48,25.6,64,-1
123,322,50,38,56,550,1.4,25.2,66,-2
123,322,50,38,56,71,1.38,22.9,71,-1
132,330,54,38,56,22,0.91,22.1,75,-1
130,333,55,38,57,0,0.76,19.6,96,-1
131,333,54,38,56,0,0.59,19.5,98,-1
137,344,54,38,61,15,0.66,17.7,100,-1
127,341,54,38,60,774,1.28,24.5,56,-1
126,341,53,38,59,602,1.32,25.7,49,-3
122,337,51,38,59,128,2.06,23.5,66,-2
122,337,51,38,59,42,1.67,22.8,69,-2
123,338,52,38,59,10,0.61,21.7,74,-1
123,337,53,38,57,0,0.34,20.2,83,-1
123,338,53,38,54,0,0.33,18.3,93,-1
123,339,52,38,49,0,0.35,17.3,97,-1
123,339,52,38,48,0,0.17,17,99,-1
120,339,53,38,47,12,0.74,17.4,100,-1
119,338,53,38,47,430,0.76,21.8,83,-1
119,338,53,38,47,826,1.38,24,70,-1
94,280,51,39,48,599,1.83,24.7,70,-1
93,282,51,38,47,92,1.45,22.9,72,-3
89,280,50,38,48,51,1.3,22.2,74,-1
98,287,55,38,64,10,0.97,21.6,77,-1
104,294,60,38,78,0,0.79,21,81,-1
110,299,61,38,89,0,0.84,20.7,84,-1
111,300,62,38,107,0,0.94,20.8,84,-1
116,302,60,38,122,0,0.41,19.8,88,-1
120,304,63,38,125,0,0.22,17.9,96,-1
109,223,63,38,74,295,0.96,21,93,-1
89,211,64,38,44,13,0.63,25.7,68,-4
89,211,64,38,72,0,0.11,23.6,81,-2
89,211,64,38,82,0,0.14,21.9,89,-1
88,211,64,38,88,0,0.16,21.2,92,-1
89,213,63,38,92,0,0.19,20.8,95,-1
89,212,64,38,97,0,0.31,20.1,98,-1
89,211,64,38,99,0,0.16,19.8,99,-1
89,211,64,38,101,0,0.12,19.6,100,-1
92,214,67,38,106,225,0.79,23,91,-1
65,213,94,37,43,415,1.1,34,51,-0.2
66,211,102,36,43,115,1.19,32.8,68,-0.3
65,210,95,36,43,1,0.6,28.9,87,-0.1
64,209,89,36,43,0,0.49,26.5,96,-0.1
60,208,104,36,43,717,0.77,32.5,68,-0.2
79,212,110,36,43,578,0.78,32.9,67,-0.2
81,213,101,36,43,550,0.84,33,66,-0.2
82,212,100,37,43,392,0.84,33.1,65,-0.1
82,210,108,36,43,80,0.89,32.2,65,-0.1
83,207,109,36,43,47,0.65,31,67,-0.1
83,208,109,36,43,2,0.56,30.2,70,-0.1
84,207,111,36,43,0,0.54,29.6,72,-0.1
86,209,112,36,43,0,0.64,25.6,93,-0.1
87,207,113,36,43,400,0.94,30.7,77,-0.1
85,209,109,37,43,704,0.84,33.2,65,-0.1
60,199,93,36,43,134,1.13,27,87,-0.1
57,198,88,36,43,360,1.42,28,82,-0.1
58,198,88,36,43,583,2.11,29.3,70,-0.2
57,197,81,36,43,805,2.29,30.4,64,-0.2
56,195,88,36,43,905,2.75,31,62,-0.1
54,195,81,36,43,863,2.36,31.4,63,-0.2
56,195,87,36,43,920,2.08,31.7,63,-0.1
55,195,81,37,43,776,2.25,31.8,61,-0.2
56,194,81,37,43,657,2.28,31.4,61,-0.1
43,195,84,36,43,441,0.78,25,88,-0.1
41,193,82,36,43,910,1.98,30.5,61,-0.1
43,194,85,37,43,782,2.03,31.4,60,-0.1
42,195,87,36,43,0,0.65,25.4,86,-0.1
41,194,87,36,43,0,1.03,25.6,87,-0.1
42,194,86,36,43,0,0.95,25.7,90,-0.1
